Country/Region,Oil consumption(bbl/day)
World,99558000
United States,20000000
European Union,15000000
China,13500000
India,4990000
Japan,3988000
Saudi Arabia,3918000
Russia,3224000
Brazil,3017000
South Korea,2796000
Germany,2447000
Canada,2428000
Iran,1947000
Mexico,1926000
France,1606000
Indonesia,1628000
United Kingdom,1559000
Thailand,1344100
Singapore,1339000
Italy,1262000
Spain,1226000
Taiwan,1031100
Australia,1006000
Netherlands,835000
Turkey,835000
Malaysia,831000
Egypt,824000
Iraq,818000
Argentina,678100
Belgium,644400
South Africa,590900
Poland,576600
United Arab Emirates,572100
Venezuela,571000
Pakistan,566000
Vietnam,522000
Greece,343400
Kuwait,339000
Hong Kong,333900
Chile,321700
Ukraine,320600
Algeria,316400
Sweden,316000
Philippines,315600
Libya,314000
Colombia,287000
Ecuador,280000
Nigeria,271600
Portugal,259900
Syria,258800
Switzerland,258200
Norway,255200
Israel,247000
Kazakhstan,244200
Romania,238400
Austria,210700
Peru,206900
Morocco,204800
Finland,203600
Czech Republic,199000
Belarus,189700
Qatar,188800
Azerbaijan,177000
Yemen,168000
Denmark,160200
Puerto Rico,151600
Cuba,150200
New Zealand,148900
Turkmenistan,145000
Ireland,144000
Hungary,141100
Uzbekistan,137100
Dominican Republic,122300
Bulgaria,112700
Bangladesh,108900
Jordan,107000
Lebanon,106700
U.S. Virgin Islands,106100
Oman,98890
Panama,98000
Sudan,95450
Sri Lanka,89620
Tunisia,88380
Guatemala,83910
Slovakia,80810
Angola,79430
Kenya,79410
Croatia,78520
Jamaica,74410
Serbia,72770
Curacao,72000
Lithuania,70390
Ghana,61590
Luxembourg,61380
Cyprus,58430
Honduras,58150
Bolivia,55560
Slovenia,52930
Bahrain,51450
Uruguay,51100
Costa Rica,50200
Ethiopia,49080
Armenia,45300
El Salvador,44040
Tanzania,43310
Trinidad and Tobago,41000
Myanmar,40620
Senegal,40600
Cambodia,39350
Albania,38390
Papua New Guinea,36320
Bahamas,36300
Latvia,31340
Nicaragua,30690
Cameroon,29410
West Bank,29310
Benin,29170
Togo,28670
Bosnia and Herzegovina,27540
Paraguay,26820
Estonia,26340
Gibraltar,24920
Mauritius,24710
Côte d'Ivoire,24630
Mongolia,22990
Namibia,21610
Iceland,20770
Mozambique,20090
Tajikistan,19580
Malta,19520
Zambia,19260
Zimbabwe,19030
Nepal,18430
Mauritania,18120
Fiji,17810
North Macedonia,17490
Madagascar,17480
Georgia,17280
Uganda,16930
Kyrgyzstan,16640
Gabon,15800
Botswana,15420
Moldova,15320
North Korea,15000
Brunei,14640
Guam,14490
Suriname,14100
Haiti,14000
New Caledonia,13640
Djibouti,12460
Malawi,12060
Guyana,10910
Republic of the Congo,10710
Democratic Republic of the Congo,10240
Burkina Faso,9960
Sierra Leone,8768
Guinea,8671
Barbados,8339
French Polynesia,8000
Seychelles,7793
Macau,7376
Belize,7044
Maldives,6875
Aruba,5661
Somalia,5659
Niger,5629
Rwanda,5245
American Samoa,5115
Antigua and Barbuda,5000
Mali,4994
Faroe Islands,4871
Swaziland,4567
Eritrea,4480
Montenegro,4446
Afghanistan,4229
Greenland(Denmark),3897
Liberia,3533
Laos,3391
Gambia,3181
Central African Republic,3175
Cayman Islands,3141
Guinea-Bissau,2922
Saint Lucia,2922
Grenada,2803
Timor-Leste,2755
Bermuda,2747
Cabo Verde,2608
Burundi,2290
Western Sahara,1948
Saint Vincent and the Grenadines,1948
Chad,1817
Lesotho,1777
Solomon Islands,1728
Bhutan,1719
Equatorial Guinea,1588
Saint Kitts and Nevis,1496
Tonga,1221
Vanuatu,1170
Samoa,1070
Comoros,1025
Nauru,1000
Montserrat,1000
British Virgin Islands,1000
Turks and Caicos Islands,999
Cook Islands,974
Saint Pierre and Miquelon,974
Dominica,918
Sao Tome and Principe,904
Falkland Islands,300
Kiribati,300
Saint Helena,100
